full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,neo,pha,diameter,diameter_sigma
32 Pomona (A854 UA),2.588,0.0817,5.52,220.36,338.48,2.376,2.80,4.16,58093,0,2956,,,7.72,N,N,80.76,1.60
33 Polyhymnia (A854 UB),2.874,0.3317,1.85,8.44,338.55,1.921,3.83,4.87,60997,0,4222,,,8.55,N,N,52.929,2.30
34 Circe (A855 GA),2.687,0.1066,5.50,184.33,330.05,2.401,2.97,4.4,57944,0,4521,,,8.69,N,N,132.992,1.03
35 Leukothea (A855 HA),2.996,0.2243,7.93,353.72,213.76,2.324,3.67,5.19,59446,0,4501,,,8.72,N,N,103.055,1.20
36 Atalante (A855 TA),2.746,0.3060,18.37,358.20,47.81,1.905,3.59,4.55,57219,0,2940,,,8.61,N,N,132.842,29.19
37 Fides (A855 TB),2.643,0.1757,3.07,7.27,62.33,2.179,3.11,4.3,61073,0,3455,,,7.42,N,N,108.35,1.90
38 Leda (A856 AA),2.743,0.1513,6.95,295.53,169.38,2.328,3.16,4.54,60989,0,3876,,,8.52,N,N,92.255,0.49
39 Laetitia (A856 CA),2.769,0.1120,10.37,156.94,209.70,2.459,3.08,4.61,60949,0,6019,,,6.26,N,N,179.484,1.69
40 Harmonia (A856 FA),2.267,0.0463,4.26,94.16,268.95,2.162,2.37,3.41,57793,0,5636,,,7.28,N,N,111.251,0.39
41 Daphne (A856 KA),2.761,0.2744,15.79,178.06,45.97,2.004,3.52,4.59,57121,0,3520,,,7.52,N,N,205.495,1.88
42 Isis (A856 KB),2.443,0.2224,8.51,84.18,237.24,1.900,2.99,3.82,60849,0,3408,,,7.62,N,N,110.997,1.38
43 Ariadne (A857 GA),2.203,0.1687,3.47,264.76,16.21,1.831,2.57,3.27,57878,0,3454,,,8.00,N,N,71.340,1.25
44 Nysa (A857 KA),2.423,0.1491,3.71,131.49,344.17,2.062,2.78,3.77,58034,0,3031,,,7.01,N,N,70.64,4.00
45 Eugenia (A857 MA),2.721,0.0834,6.61,147.59,87.54,2.494,2.95,4.49,57230,0,4322,,,7.67,N,N,202.327,2.17
46 Hestia (A857 QA),2.525,0.1727,2.35,181.07,177.09,2.089,2.96,4.01,58004,0,4738,,,8.59,N,N,131.471,22.15
47 Aglaja (A857 RA),2.88,0.1300,4.98,3.05,315.26,2.506,3.25,4.89,59398,0,4331,,,8.19,N,N,168.174,1.22
48 Doris (A857 SA),3.117,0.0683,6.56,183.45,250.88,2.904,3.33,5.5,59493,0,3980,,,7.19,N,N,216.473,4.76
49 Pales (A857 SB),3.099,0.2217,3.20,285.03,113.22,2.412,3.79,5.46,58140,0,3965,,,7.90,N,N,166.252,2.17
50 Virginia (A857 TA),2.651,0.2852,2.84,173.47,199.98,1.895,3.41,4.32,60362,0,4219,,,9.37,N,N,84.074,0.24
51 Nemausa (A858 BA),2.365,0.0674,9.98,175.95,1.69,2.206,2.52,3.64,58103,0,6126,,,7.66,N,N,138.159,0.97
52 Europa (A858 CA),3.094,0.1110,7.48,128.59,342.96,2.750,3.44,5.44,59231,0,3677,,,6.57,N,N,303.918,3.50
53 Kalypso (A858 GA),2.619,0.2025,5.18,143.46,314.21,2.088,3.15,4.24,57368,0,4150,1,0,8.90,N,N,97.262,26.60
54 Alexandra (A858 RA),2.711,0.1968,11.80,313.23,345.27,2.177,3.24,4.46,9582,0,3363,,,7.87,N,N,160.120,1.86
55 Pandora (A858 RB),2.758,0.1441,7.18,10.36,5.52,2.361,3.16,4.58,53421,0,3601,,,7.85,N,N,84.794,2.50
56 Melete (A857 RB),2.597,0.2375,8.08,192.94,104.95,1.980,3.21,4.18,57570,0,3770,,,8.56,N,N,121.333,0.95
57 Mnemosyne (A859 SA),3.153,0.1087,15.24,198.90,210.57,2.810,3.50,5.6,59568,0,3629,,,7.03,N,N,112.59,2.80
58 Concordia (A860 FA),2.699,0.0450,5.07,161.06,34.09,2.577,2.82,4.43,58059,0,5066,,,9.04,N,N,106.517,0.74
59 Elpis (A860 RA),2.713,0.1172,8.65,169.93,210.84,2.395,3.03,4.47,57391,0,3412,,,8.07,N,N,165.119,4.51
60 Echo (A860 RB),2.392,0.1851,3.60,191.54,271.02,1.949,2.83,3.7,59117,0,4079,,,8.56,N,N,43.218,0.57
61 Danae (A860 RC),2.986,0.1645,18.21,333.57,12.79,2.494,3.48,5.16,57494,0,3224,,,7.63,N,N,85.937,2.15
62 Erato (A860 RD),3.131,0.1681,2.24,125.12,277.48,2.604,3.66,5.54,42735,0,4477,,,8.83,N,N,106.921,0.66
63 Ausonia (A861 CA),2.394,0.1281,5.77,337.70,295.91,2.087,2.70,3.7,59135,0,3189,,,7.57,N,N,116.044,1.75
64 Angelina (A861 EA),2.681,0.1258,1.31,308.99,180.91,2.343,3.02,4.39,59105,0,3537,,,7.73,N,N,58.292,1.08
65 Cybele (A861 EB),3.435,0.1190,3.56,155.53,103.73,3.026,3.84,6.37,59114,0,4536,,,6.89,N,N,237.26,4.20
66 Maja (A861 GA),2.647,0.1731,3.05,7.50,43.39,2.189,3.11,4.31,59090,0,4226,,,9.55,N,N,71.82,5.30
67 Asia (A861 HA),2.422,0.1846,6.03,202.39,107.07,1.975,2.87,3.77,58038,0,3899,,,8.38,N,N,56.309,0.40
68 Leto (A861 HB),2.784,0.1848,7.96,44.06,304.72,2.269,3.30,4.64,58130,0,3227,,,7.05,N,N,122.509,3.14
69 Hesperia (A861 HC),2.975,0.1701,8.59,184.99,288.80,2.469,3.48,5.13,59013,0,4054,,,7.25,N,N,138.13,4.70
70 Panopaea (A861 JA),2.616,0.1809,11.60,47.66,255.76,2.143,3.09,4.23,57071,0,4122,,,8.20,N,N,127.911,0.74
71 Niobe (A861 PA),2.754,0.1763,23.24,315.93,267.08,2.269,3.24,4.57,58086,0,3247,,,7.24,N,N,83.42,1.70
72 Feronia (A861 KA),2.267,0.1210,5.42,207.93,103.19,1.993,2.54,3.41,57528,0,4074,,,9.11,N,N,74.966,1.17
73 Klytia (A862 GA),2.665,0.0420,2.37,6.85,55.83,2.553,2.78,4.35,57823,0,4082,,,9.03,N,N,44.590,0.94
74 Galatea (A862 QA),2.782,0.2363,4.07,197.12,174.73,2.124,3.44,4.64,58070,0,4092,,,8.82,N,N,118.71,2.80
75 Eurydike (A862 SA),2.674,0.3036,4.99,359.32,339.50,1.862,3.49,4.37,58067,0,4587,,,9.14,N,N,62.377,1.60
76 Freia (A862 UA),3.413,0.1667,2.12,204.28,252.01,2.844,3.98,6.3,57871,0,4640,,,8.06,N,N,145.423,1.29
77 Frigga (A862 VA),2.667,0.1334,2.42,1.13,61.67,2.311,3.02,4.36,52325,0,4034,,,8.68,N,N,61.390,0.18
78 Diana (A863 EA),2.624,0.2037,8.68,333.35,152.94,2.089,3.16,4.25,58360,0,3639,,,8.35,N,N,120.60,2.70
79 Eurynome (A863 RA),2.444,0.1907,4.61,206.52,201.57,1.978,2.91,3.82,58048,0,3497,,,7.97,N,N,63.479,0.95
80 Sappho (A864 JA),2.296,0.2000,8.68,218.65,139.55,1.837,2.76,3.48,57453,0,3198,,,8.14,N,N,68.563,1.03
81 Terpsichore (A864 SA),2.851,0.2118,7.81,0.95,51.54,2.248,3.46,4.81,57689,0,4520,,,8.65,N,N,117.727,0.73
82 Alkmene (A864 WA),2.763,0.2205,2.83,25.44,110.95,2.154,3.37,4.59,57649,0,4058,,,8.30,N,N,57.621,0.71
83 Beatrix (A865 HA),2.432,0.0824,4.97,27.67,169.96,2.231,2.63,3.79,57601,0,3650,,,8.77,N,N,110.503,0.83
84 Klio (A865 QA),2.362,0.2361,9.32,327.51,15.05,1.804,2.92,3.63,57497,0,3637,,,9.39,N,N,79.16,1.60
85 Io (A865 SA),2.653,0.1938,11.96,203.05,122.90,2.139,3.17,4.32,57470,0,3495,,,7.83,N,N,154.79,3.80
86 Semele (A866 AA),3.105,0.2162,4.82,86.07,308.96,2.433,3.78,5.47,55064,0,4149,,,8.77,N,N,109.929,0.61
87 Sylvia (A866 KA),3.478,0.0940,10.88,73.01,264.29,3.151,3.80,6.49,50196,0,4899,,,6.98,N,N,253.051,2.95
88 Thisbe (A866 LA),2.768,0.1617,5.21,276.43,36.68,2.321,3.22,4.61,57097,0,4220,,,7.30,N,N,232,
89 Julia (A866 PA),2.55,0.1845,16.13,311.55,45.09,2.080,3.02,4.07,57149,0,2741,,,6.77,N,N,145.483,1.27
90 Antiope (A866 TA),3.15,0.1678,2.21,69.94,245.25,2.622,3.68,5.59,57053,0,5412,,,8.49,N,N,115.974,1.11
91 Aegina (A866 VA),2.59,0.1071,2.10,10.44,74.36,2.312,2.87,4.17,57055,0,3837,,,8.95,N,N,103.402,0.48
92 Undina (A867 NA),3.187,0.1054,9.92,101.41,237.34,2.851,3.52,5.69,55475,0,2939,,,6.82,N,N,126.42,3.40
93 Minerva (A867 QA),2.757,0.1393,8.56,4.03,275.38,2.373,3.14,4.58,55811,0,3509,,,7.96,N,N,154.155,1.30
94 Aurora (A867 RA),3.156,0.0953,7.97,2.55,60.20,2.855,3.46,5.61,54846,0,4944,,,7.69,N,N,204.89,3.60
95 Arethusa (A867 WA),3.067,0.1537,13.00,242.97,153.34,2.596,3.54,5.37,54879,0,3954,,,8.04,N,N,147.969,5.15
96 Aegle (A868 DA),3.051,0.1416,15.98,321.49,208.09,2.619,3.48,5.33,56587,0,3806,,,7.71,N,N,177.774,1.54
97 Klotho (A868 DB),2.667,0.2580,11.78,159.62,268.54,1.979,3.36,4.36,55628,0,3914,,,7.85,N,N,100.717,0.64
98 Ianthe (A868 HA),2.687,0.1875,15.58,353.90,158.40,2.183,3.19,4.41,55444,0,3588,,,8.95,N,N,132.788,1.13
99 Dike (A868 KA),2.663,0.1972,13.86,41.41,195.57,2.138,3.19,4.34,39452,0,3948,,,9.51,N,N,67.354,0.42
100 Hekate (A868 NA),3.087,0.1687,6.43,127.17,183.78,2.566,3.61,5.42,55527,0,3624,,,7.70,N,N,85.734,1.96
101 Helena (A868 PA),2.583,0.1411,10.19,343.37,347.94,2.218,2.95,4.15,55462,0,2959,,,8.25,N,N,65.84,1.30
102 Miriam (A868 QA),2.663,0.2510,5.17,210.77,147.23,1.995,3.33,4.35,55879,0,4097,,,9.40,N,N,82.595,0.40
103 Hera (A868 RA),2.702,0.0792,5.42,136.07,189.34,2.488,2.92,4.44,55286,0,3326,,,7.72,N,N,83.908,2.09
104 Klymene (A868 RB),3.146,0.1618,2.79,41.66,31.65,2.637,3.65,5.58,50170,0,3873,,,8.50,N,N,136.553,1.55
105 Artemis (A868 SA),2.372,0.1787,21.46,188.22,57.12,1.949,2.80,3.65,43321,0,3712,2,0,8.73,N,N,94.864,23.22
106 Dione (A868 TA),3.181,0.1594,4.58,61.99,331.50,2.674,3.69,5.67,55468,0,3663,,,7.64,N,N,207.869,2.16
107 Camilla (A868 WA),3.486,0.0652,10.00,172.59,305.34,3.259,3.71,6.51,56218,0,4503,,,7.13,N,N,210.370,8.33
108 Hecuba (A869 GB),3.237,0.0615,4.21,349.81,211.87,3.038,3.44,5.82,52228,0,4381,,,8.01,N,N,75.498,1.89
109 Felicitas (A869 TA),2.694,0.3000,7.85,2.76,57.59,1.886,3.50,4.42,9615,0,3120,,,9.04,N,N,82.588,0.62
110 Lydia (A870 HA),2.732,0.0799,5.96,56.77,282.18,2.514,2.95,4.52,10309,0,3191,,,7.90,N,N,86.09,2.00
111 Ate (A870 PA),2.594,0.1028,4.93,305.69,168.22,2.327,2.86,4.18,55674,0,3625,,,8.22,N,N,126.344,0.23
112 Iphigenia (A870 SA),2.433,0.1286,2.60,323.37,17.00,2.120,2.75,3.8,55644,0,4661,,,9.82,N,N,69.818,1.82
113 Amalthea (A871 EA),2.377,0.0858,5.04,123.43,79.10,2.174,2.58,3.67,55439,0,4069,,,8.61,N,N,50.137,1.27
114 Kassandra (A871 OA),2.677,0.1383,4.94,164.07,352.66,2.307,3.05,4.38,43974,0,3844,,,8.35,N,N,94.178,0.95
115 Thyra (A871 PA),2.379,0.1927,11.59,308.77,96.80,1.921,2.84,3.67,54817,0,2764,,,7.71,N,N,79.83,1.40
116 Sirona (A871 RA),2.766,0.1412,3.56,63.70,94.24,2.376,3.16,4.6,54771,0,3577,,,7.88,N,N,71.70,5.80
117 Lomia (A871 RB),2.989,0.0235,14.93,348.63,51.57,2.919,3.06,5.17,53485,0,3503,,,8.09,N,N,208.974,1.21
118 Peitho (A872 EA),2.438,0.1640,7.75,47.64,32.91,2.038,2.84,3.81,55081,0,4045,,,8.90,N,N,40.211,0.49
119 Althaea (A872 GA),2.581,0.0816,5.79,203.63,171.41,2.370,2.79,4.15,55011,0,3948,,,8.44,N,N,57.30,1.10
120 Lachesis (A872 GB),3.12,0.0511,6.96,341.17,235.35,2.961,3.28,5.51,55018,0,3415,,,7.79,N,N,155.132,1.13
121 Hermione (A872 JA),3.453,0.1258,7.57,72.88,296.85,3.019,3.89,6.42,55018,0,4619,,,7.46,N,N,209.00,4.70
122 Gerda (A872 OA),3.228,0.0291,1.64,178.09,320.55,3.134,3.32,5.8,54932,0,4056,,,7.75,N,N,70.676,0.91
123 Brunhild (A872 OB),2.695,0.1210,6.41,307.72,125.25,2.369,3.02,4.42,54900,0,3908,,,8.92,N,N,45.209,1.88
124 Alkeste (A872 QA),2.629,0.0780,2.96,187.91,62.05,2.424,2.83,4.26,54939,0,4357,,,8.14,N,N,88.648,1.65
125 Liberatrix (A872 RA),2.745,0.0799,4.67,168.97,110.34,2.526,2.96,4.55,54899,0,5441,,,9.00,N,N,48.418,0.53
126 Velleda (A872 VA),2.44,0.1053,2.92,23.24,328.15,2.183,2.70,3.81,54846,0,3858,,,9.17,N,N,44.82,1.30
127 Johanna (A872 VB),2.756,0.0658,8.25,31.13,92.80,2.575,2.94,4.58,47347,0,3915,,,8.58,N,N,122,
128 Nemesis (A872 WA),2.75,0.1281,6.25,76.16,302.99,2.398,3.10,4.56,54843,0,3334,,,7.77,N,N,162.515,1.30
129 Antigone (A873 CA),2.867,0.2129,12.27,135.66,110.74,2.256,3.48,4.85,53373,0,3790,,,7.04,N,N,113,
130 Elektra (A873 DA),3.126,0.2096,22.78,145.00,237.69,2.471,3.78,5.53,47171,0,3908,,,7.32,N,N,180.652,2.70
131 Vala (A873 KA),2.432,0.0688,4.96,65.56,161.66,2.264,2.60,3.79,54662,0,4645,,,9.95,N,N,31.337,0.30
132 Aethra (A873 LA),2.613,0.3877,24.95,258.15,255.49,1.600,3.63,4.22,54642,0,3686,,,8.95,N,N,42.87,1.60
133 Cyrene (A873 QA),3.062,0.1344,7.21,318.99,290.29,2.651,3.47,5.36,54491,0,4157,,,8.12,N,N,72.175,0.93
134 Sophrosyne (A873 SA),2.564,0.1148,11.61,345.86,85.46,2.270,2.86,4.11,53097,0,3307,,,8.81,N,N,108,
135 Hertha (A874 DA),2.428,0.2069,2.30,343.56,340.41,1.925,2.93,3.78,53745,0,3683,,,8.26,N,N,79.24,2.00
136 Austria (A874 FA),2.287,0.0845,9.58,186.40,132.65,2.094,2.48,3.46,53334,0,3840,,,9.76,N,N,36.893,0.52
137 Meliboea (A874 HA),3.125,0.2115,13.43,202.17,107.60,2.464,3.79,5.52,52102,0,3876,,,8.22,N,N,128.678,0.53
138 Tolosa (A874 KA),2.45,0.1620,3.20,54.72,260.62,2.053,2.85,3.83,45895,0,3885,,,8.87,N,N,52.905,1.05
139 Juewa (A874 TA),2.789,0.1713,10.90,1.80,166.32,2.312,3.27,4.66,51798,0,3367,,,8.04,N,N,151.116,1.60
140 Siwa (A874 TB),2.733,0.2140,3.19,107.17,197.04,2.148,3.32,4.52,53184,0,4770,,,8.50,N,N,109.79,3.00
141 Lumen (A875 AA),2.666,0.2135,11.90,318.47,57.74,2.097,3.24,4.35,53120,0,2902,,,8.46,N,N,117.916,1.36
142 Polana (A875 BA),2.418,0.1343,2.24,291.21,291.70,2.093,2.74,3.76,51888,0,4581,,,10.35,N,N,54.812,0.28
143 Adria (A875 DA),2.761,0.0733,11.44,332.97,252.07,2.559,2.96,4.59,51978,0,4100,,,9.17,N,N,95.377,0.70
144 Vibilia (A875 LA),2.654,0.2356,4.82,76.17,294.70,2.028,3.28,4.32,53851,0,3612,,,8.15,N,N,142.38,2.60
145 Adeona (A875 LB),2.672,0.1467,12.62,77.33,45.24,2.280,3.06,4.37,53927,0,3495,,,8.21,N,N,127.783,0.35
146 Lucina (A875 LC),2.718,0.0662,13.10,83.93,145.46,2.538,2.90,4.48,49962,0,3680,,,8.42,N,N,160.310,1.21
147 Protogeneia (A875 NA),3.137,0.0228,1.93,248.23,102.90,3.065,3.21,5.56,53813,0,4462,,,8.79,N,N,132.93,5.10
148 Gallia (A875 PA),2.77,0.1881,25.29,145.00,252.63,2.249,3.29,4.61,52424,0,4308,,,7.65,N,N,97.75,3.70
149 Medusa (A875 SA),2.175,0.0655,0.94,159.60,251.02,2.032,2.32,3.21,47904,0,4005,,,10.60,N,N,23.719,0.27
150 Nuwa (A875 UA),2.984,0.1237,2.20,206.10,153.91,2.615,3.35,5.16,51998,0,4143,,,8.53,N,N,119.128,1.87
151 Abundantia (A875 VA),2.592,0.0355,6.43,38.74,132.88,2.500,2.68,4.17,50405,0,3751,,,9.21,N,N,39.037,0.51
152 Atala (A875 VB),3.139,0.0818,12.12,39.88,58.89,2.882,3.40,5.56,52004,0,3593,,,8.31,N,N,58.964,0.51
153 Hilda (A875 VC),3.974,0.1394,7.83,228.09,39.44,3.420,4.53,7.92,51981,0,4055,,,7.66,N,N,170.63,3.30
154 Bertha (A875 VD),3.206,0.0750,21.02,36.54,163.75,2.966,3.45,5.74,51995,0,3323,,,7.70,N,N,192.611,2.19
155 Scylla (A875 VE),2.76,0.2725,11.36,40.55,46.70,2.008,3.51,4.59,53768,0,3101,,,11.20,N,N,39.605,0.20
156 Xanthippe (A875 WA),2.728,0.2261,9.78,241.81,338.28,2.111,3.34,4.5,44243,0,4312,,,8.78,N,N,143.346,0.90
157 Dejanira (A875 XA),2.579,0.1978,12.16,62.03,46.33,2.069,3.09,4.14,43062,0,3241,,,11.23,N,N,19.959,2.48
158 Koronis (A876 AA),2.87,0.0529,1.01,277.67,146.83,2.718,3.02,4.86,47283,0,4228,,,9.24,N,N,39.025,0.46
159 Aemilia (A876 BA),3.114,0.1014,6.11,133.98,332.73,2.798,3.43,5.49,43475,0,4406,,,8.35,N,N,125.236,1.19
160 Una (A876 DA),2.73,0.0672,3.82,8.59,50.67,2.546,2.91,4.51,53621,0,4201,,,9.15,N,N,81.24,2.10
161 Athor (A876 HA),2.38,0.1369,9.06,18.55,294.85,2.054,2.71,3.67,53602,0,3595,,,9.18,N,N,40.992,0.69
162 Laurentia (A876 HB),3.017,0.1822,6.09,35.45,115.72,2.467,3.57,5.24,53601,0,3981,,,8.97,N,N,97.021,0.49
163 Erigone (A876 HC),2.366,0.1924,4.82,160.04,298.58,1.911,2.82,3.64,47535,0,4172,,,9.76,N,N,81.579,3.06
164 Eva (A876 NA),2.631,0.3472,24.48,76.79,284.01,1.718,3.54,4.27,46805,0,3642,,,8.81,N,N,100.254,0.94
165 Loreley (A876 PA),3.125,0.0840,11.24,302.45,345.00,2.862,3.39,5.52,53494,0,3855,,,7.81,N,N,180.083,2.06
166 Rhodope (A876 PB),2.685,0.2109,12.02,128.90,263.98,2.119,3.25,4.4,53486,0,4003,,,9.92,N,N,52.393,0.20
167 Urda (A876 QA),2.852,0.0376,2.22,166.11,128.19,2.745,2.96,4.82,50705,0,4092,,,9.25,N,N,39.935,0.26
168 Sibylla (A876 SA),3.375,0.0747,4.67,205.92,175.96,3.123,3.63,6.2,53429,0,4182,,,8.10,N,N,145.366,3.22
169 Zelia (A876 SB),2.358,0.1306,5.50,354.73,334.76,2.050,2.67,3.62,53436,0,3974,,,9.55,N,N,37.517,0.71
170 Maria (A877 AA),2.555,0.0617,14.36,301.21,158.02,2.397,2.71,4.08,53325,0,3450,,,9.35,N,N,33.136,0.83
171 Ophelia (A877 AB),3.131,0.1320,2.55,100.47,55.55,2.717,3.54,5.54,13515,0,3805,,,8.65,N,N,130.808,1.48
172 Baucis (A877 CA),2.379,0.1148,10.02,331.90,359.31,2.106,2.65,3.67,51277,0,3185,,,8.77,N,N,62.43,1.20
173 Ino (A877 PA),2.742,0.2100,14.20,148.17,228.79,2.167,3.32,4.54,52541,0,4042,,,8.00,N,N,125.821,1.49
174 Phaedra (A877 RA),2.865,0.1419,12.11,327.62,290.26,2.459,3.27,4.85,53100,0,3775,,,8.37,N,N,64.849,0.39
175 Andromache (A877 TA),3.184,0.2326,3.22,21.27,319.74,2.443,3.92,5.68,53071,0,4327,,,8.61,N,N,94.532,1.08
176 Iduna (A877 TB),3.181,0.1718,22.68,200.47,188.68,2.635,3.73,5.67,53049,0,4176,,,8.34,N,N,106.976,1.08
177 Irma (A877 VA),2.772,0.2342,1.38,346.97,39.50,2.123,3.42,4.62,44655,0,4000,,,9.70,N,N,69.049,0.65
178 Belisana (A877 VB),2.46,0.0421,1.89,51.08,211.74,2.356,2.56,3.86,49952,0,4006,,,9.44,N,N,35.81,0.90
179 Klytaemnestra (A877 VC),2.974,0.1099,7.82,251.84,104.24,2.647,3.30,5.13,52148,0,3662,,,8.17,N,N,69.946,0.52
180 Garumna (A878 BA),2.721,0.1679,0.87,311.84,175.96,2.265,3.18,4.49,37743,0,3965,,,10.25,N,N,23.440,0.41
181 Eucharis (A878 CB),3.126,0.2076,18.89,143.01,318.84,2.477,3.78,5.53,52094,0,3741,,,7.96,N,N,115.383,1.46
182 Elsa (A878 CC),2.415,0.1871,2.01,107.18,310.70,1.963,2.87,3.75,43414,0,3631,,,9.20,N,N,39.520,0.39
183 Istria (A878 CD),2.795,0.3484,26.40,141.88,264.00,1.821,3.77,4.67,42707,0,3781,,,9.54,N,N,32.927,0.17
184 Dejopeja (A878 DA),3.194,0.0635,1.14,331.55,212.01,2.991,3.40,5.71,47567,0,4199,,,8.44,N,N,62.483,0.32
185 Eunike (A878 EA),2.739,0.1273,23.25,153.76,223.76,2.390,3.09,4.53,52001,0,4075,,,7.70,N,N,160.464,2.02
186 Celuta (A878 GA),2.362,0.1496,13.19,14.72,315.51,2.009,2.72,3.63,50818,0,3440,,,9.01,N,N,49.99,1.60
187 Lamberta (A878 GB),2.728,0.2405,10.58,21.67,196.71,2.072,3.38,4.51,51713,0,3985,,,8.30,N,N,147.294,1.39
188 Menippe (A878 MA),2.76,0.1793,11.70,240.83,69.83,2.265,3.26,4.59,45796,0,3639,,,9.35,N,N,35.752,0.37
189 Phthia (A878 RA),2.45,0.0359,5.18,203.34,169.25,2.362,2.54,3.84,52046,0,3931,,,9.36,N,N,38.490,0.32
190 Ismene (A878 SA),3.993,0.1680,6.18,175.44,271.13,3.322,4.66,7.98,46831,0,4084,,,7.70,N,N,159,
191 Kolga (A878 SB),2.895,0.0877,11.52,159.19,226.25,2.641,3.15,4.93,11517,0,3911,,,9.02,N,N,94.536,0.43
192 Nausikaa (A879 DA),2.403,0.2461,6.80,343.10,30.61,1.812,2.99,3.73,52530,0,3062,1,0,7.39,N,N,98.776,1.24
193 Ambrosia (A879 DB),2.599,0.2979,11.99,349.50,82.50,1.825,3.37,4.19,39085,0,3231,,,9.79,N,N,26.302,0.20
